Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S266150116,Osprey,Pandion haliaetus,7832,X,US-MA,Hampshire,L51274089,Fern Trail,42.290066,-72.642077,2025-08-09,03:58 PM,eBird - Casual Observation,,0,,,1
S185936746,Osprey,Pandion haliaetus,7832,X,US-NY,Suffolk,L34455194,North Fork Audobon,41.109886,-72.381196,2024-07-07,,eBird - Casual Observation,,0,,,1
S270479039,Cooper's Hawk,Astur cooperii,8278,X,US-MA,Essex,L52232610,Canoeing In The River,42.623439,-70.920573,2025-08-30,,eBird - Casual Observation,,0,,,1
S232259163,Black Kite,Milvus migrans,8345,X,JP-13,Shinjuku City,L43958525,Rose Garden At National Garden,35.683629,139.714037,2025-05-03,,eBird - Casual Observation,,0,,,1
S175822829,Bald Eagle,Haliaeetus leucocephalus,8367,X,US-CA,Santa Barbara,L32045989,Channel Islands National Park,34.049176,-119.558118,2024-05-18,,eBird - Casual Observation,,0,,,1
S175747650,Red-shouldered Hawk,Buteo lineatus,8487,X,US-CA,Los Angeles,L32030991,La Canada,34.191008,-118.18589,2024-05-19,02:22 PM,eBird - Casual Observation,,0,,,1
S189087646,Red-shouldered Hawk,Buteo lineatus,8487,X,US-MA,Middlesex,L35209174,Rocky Hill Mass Audubon,42.578142,-71.54016,2024-07-27,12:20 PM,eBird - Casual Observation,,0,,,1
S128996206,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Essex,L22704057,Mass Audubon,42.632174,-70.920697,2023-02-19,,eBird - Casual Observation,,0,,,1
S148384995,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Middlesex,L26817099,Kimball farm,42.550377,-71.459786,2023-08-29,,eBird - Casual Observation,,0,,,1
S142902328,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Middlesex,L25527131,Micro center,42.357143,-71.114483,2023-06-27,,eBird - Casual Observation,,0,,,1
S205605717,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Middlesex,L23488569,Silva Park,42.370836,-71.081581,2024-12-15,,eBird - Casual Observation,,0,,,1
S151189856,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Norfolk,L27333925,Wellesley College,42.296298,-71.304552,2023-10-01,,eBird - Casual Observation,,0,,,1
S127556622,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Suffolk,L20020871,Boston East,42.374687,-71.040224,2023-02-01,,eBird - Casual Observation,,0,,,1
S207464170,Red-tailed Hawk,Buteo jamaicensis,8506,X,US-MA,Suffolk,L39060902,North St,42.361583,-71.055185,2025-01-01,,eBird - Casual Observation,,0,,,1
S270546764,Eastern Screech-Owl,Megascops asio,8866,X,US-MA,Essex,L52247925,Perkins Island,42.623259,-70.923354,2025-08-31,05:39 AM,eBird - Casual Observation,,0,,,1
S270544734,Great Horned Owl,Bubo virginianus,8910,X,US-MA,Essex,L52247925,Perkins Island,42.623259,-70.923354,2025-08-31,05:18 AM,eBird - Casual Observation,,0,,,1
S217435433,Yellow-bellied Sapsucker,Sphyrapicus varius,11126,X,US-NY,New York,L41011636,Castle,40.779204,-73.968587,2025-03-09,,eBird - Casual Observation,,0,,,1
